Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,LABEL-I,LABEL-II,LABEL-III
192.168.1.104-192.168.1.102-59630-30007-6,192.168.1.104,59630,192.168.1.102,30007,6,2022-09-12 18:59:52.310869,44889,5,0,1208,0,1208,0,241.6,540.234023363949,0,0,0,0,26910.8244781572,111.38586290628,11222.25,21681.2001262999,43744,333,44889,11222.25,21681.2001262999,43744,333,0,0,0,0,0,1,0,0,0,0,0,168,0,111.38586290628,0,0,1208,241.6,540.234023363949,291852.8,1,1,0,1,4,0,0,0,0,241.6,241.6,0,0,0,0,0,0,0,1,241,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,44889,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-37670-30007-6,192.168.1.104,37670,192.168.1.102,30007,6,2022-09-12 19:40:53.969066,39183,5,0,997,0,997,0,199.4,445.871954713458,0,0,0,0,25444.7081642549,127.606359900977,9795.75,18293.5011479487,37232,299,39183,9795.75,18293.5011479487,37232,299,0,0,0,0,0,1,0,0,0,0,0,168,0,127.606359900977,0,0,997,199.4,445.871954713458,198801.8,1,1,0,1,4,0,0,0,0,199.4,199.4,0,0,0,0,0,0,0,1,199,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,39183,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.1-55400-53-17,192.168.1.104,55400,192.168.1.1,53,17,2022-09-12 19:13:00.657964,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.102-36720-30007-6,192.168.1.104,36720,192.168.1.102,30007,6,2022-09-12 19:29:20.081566,36343,5,0,1009,0,1009,0,201.8,451.238517859458,0,0,0,0,27763.25564758,137.578075557879,9085.75,17039.3253265302,34643,336,36343,9085.75,17039.3253265302,34643,336,0,0,0,0,0,1,0,0,0,0,0,168,0,137.578075557879,0,0,1009,201.8,451.238517859458,203616.2,1,1,0,1,4,0,0,0,0,201.8,201.8,0,0,0,0,0,0,0,1,201,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,36343,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.1-41339-53-17,192.168.1.104,41339,192.168.1.1,53,17,2022-09-12 19:15:01.398331,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-49928-53-17,192.168.1.104,49928,192.168.1.1,53,17,2022-09-12 19:06:28.215495,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.102-33078-30007-6,192.168.1.104,33078,192.168.1.102,30007,6,2022-09-12 19:13:40.097348,42939,5,0,1013,0,1013,0,202.6,453.027372241457,0,0,0,0,23591.6066978737,116.444258133631,10734.75,20142.6225431712,40945,314,42939,10734.75,20142.6225431712,40945,314,0,0,0,0,0,1,0,0,0,0,0,168,0,116.444258133631,0,0,1013,202.6,453.027372241457,205233.8,1,1,0,1,4,0,0,0,0,202.6,202.6,0,0,0,0,0,0,0,1,202,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,42939,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-43594-30007-6,192.168.1.104,43594,192.168.1.102,30007,6,2022-09-12 19:34:24.811651,39985,5,0,996,0,996,0,199.2,445.424741117958,0,0,0,0,24909.3410028761,125.046892584719,9996.25,19347.3877026504,39016,140,39985,9996.25,19347.3877026504,39016,140,0,0,0,0,0,1,0,0,0,0,0,168,0,125.046892584719,0,0,996,199.2,445.424741117958,198403.2,1,1,0,1,4,0,0,0,0,199.2,199.2,0,0,0,0,0,0,0,1,199,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,39985,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-54100-30007-6,192.168.1.104,54100,192.168.1.102,30007,6,2022-09-12 18:54:50.797996,50778,5,0,1394,0,1394,0,278.8,623.415752126941,0,0,0,0,27452.8339044468,98.4678404033243,12694.5,24498.4439437828,49442,342,50778,12694.5,24498.4439437828,49442,342,0,0,0,0,0,1,0,0,0,0,0,168,0,98.4678404033243,0,0,1394,278.8,623.415752126941,388647.2,1,1,0,1,4,0,0,0,0,278.8,278.8,0,0,0,0,0,0,0,1,278,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,50778,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.1-39700-53-17,192.168.1.104,39700,192.168.1.1,53,17,2022-09-12 19:21:58.497853,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.102-60514-30007-6,192.168.1.104,60514,192.168.1.102,30007,6,2022-09-12 19:32:40.612551,37141,5,0,1385,0,1385,0,277,619.390829767442,0,0,0,0,37290.3260547643,134.622115721171,9285.25,17537.2580026069,35590,295,37141,9285.25,17537.2580026069,35590,295,0,0,0,0,0,1,0,0,0,0,0,168,0,134.622115721171,0,0,1385,277,619.390829767442,383645,1,1,0,1,4,0,0,0,0,277,277,0,0,0,0,0,0,0,1,277,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,37141,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-57620-30007-6,192.168.1.104,57620,192.168.1.102,30007,6,2022-09-12 19:14:29.616320,52259,5,0,998,0,998,0,199.6,446.319168308958,0,0,0,0,19097.1890009376,95.677299603896,13064.75,24604.8562059742,49964,398,52259,13064.75,24604.8562059742,49964,398,0,0,0,0,0,1,0,0,0,0,0,168,0,95.677299603896,0,0,998,199.6,446.319168308958,199200.8,1,1,0,1,4,0,0,0,0,199.6,199.6,0,0,0,0,0,0,0,1,199,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,52259,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.1-39069-53-17,192.168.1.104,39069,192.168.1.1,53,17,2022-09-12 19:41:45.576244,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-57727-53-17,192.168.1.104,57727,192.168.1.1,53,17,2022-09-12 18:51:00.236613,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.102-60820-30007-6,192.168.1.104,60820,192.168.1.102,30007,6,2022-09-12 19:34:32.994212,34237,6,0,1009,0,1009,0,168.166666666667,411.922525078038,0,0,0,0,29471.0401028127,175.248999620294,6847.4,14650.6247921377,33053,81,34237,6847.4,14650.6247921377,33053,81,0,0,0,0,0,1,0,0,0,0,0,200,0,175.248999620294,0,0,1009,168.166666666667,411.922525078038,169680.166666667,1,1,0,1,5,0,0,0,0,168.166666666667,168.166666666667,0,0,0,0,0,0,0,1,168,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,34237,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
