Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
172.16.16.96-172.66.43.44-38504-443-6,172.16.16.96,38504,172.66.43.44,443,6,2022-09-09 07:54:50.702603,156275,15,0,557.0,0.0,289.0,0.0,37.13333333333333,76.93212840518831,0,0,0,0,3564.229723244281,95.98464245720685,11162.5,12695.790433477123,40821.0,81.0,156275.0,11162.5,12695.790433477123,40821.0,81.0,0,0,0,0,0,5,0,0,0,0,0,320,0,95.98464245720685,0.0,0.0,289.0,37.13333333333333,76.93212840518831,5918.552380952381,1,1,0,5,14,0,0,0,0.0,37.13333333333333,37.13333333333333,0.0,557,5,7999,0,0,0,1,37,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,-1,-1,156275,NeedManualLabel
172.16.16.96-172.16.16.163-37088-30006-6,172.16.16.96,37088,172.16.16.163,30006,6,2022-09-09 07:49:39.952578,22002,5,0,1020.0,0.0,1020.0,0.0,204.0,456.1578674099571,0,0,0,0,46359.421870739025,227.25206799381874,5500.5,9392.325537373585,19574.0,242.0,22002.0,5500.5,9392.325537373585,19574.0,242.0,0,0,0,0,0,1,0,0,0,0,0,168,0,227.25206799381874,0.0,0.0,1020.0,204.0,456.1578674099571,208080.0,1,1,0,1,4,0,0,0,0.0,204.0,204.0,0.0,0,0,0,0,0,0,1,204,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,22002,NeedManualLabel
172.16.16.96-172.16.16.163-48372-30006-6,172.16.16.96,48372,172.16.16.163,30006,6,2022-09-09 07:38:45.389241,46381,5,0,526.0,0.0,526.0,0.0,105.2,235.23435123297787,0,0,0,0,11340.850779413984,107.80276406287058,11595.25,22001.639732453274,44595.0,331.0,46381.0,11595.25,22001.639732453274,44595.0,331.0,0,0,0,0,0,1,0,0,0,0,0,168,0,107.80276406287058,0.0,0.0,526.0,105.2,235.23435123297787,55335.200000000004,1,1,0,1,4,0,0,0,0.0,105.2,105.2,0.0,0,0,0,0,0,0,1,105,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,46381,NeedManualLabel
172.16.16.96-172.16.16.163-44642-10010-6,172.16.16.96,44642,172.16.16.163,10010,6,2022-09-09 07:39:01.335676,4170,5,0,314.0,0.0,314.0,0.0,62.8,140.4250689869868,0,0,0,0,75299.76019184652,1199.0407673860911,1042.5,1219.0262507427803,2847.0,241.0,4170.0,1042.5,1219.0262507427803,2847.0,241.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1199.0407673860911,0.0,0.0,314.0,62.8,140.4250689869868,19719.2,1,1,0,1,4,0,0,0,0.0,62.8,62.8,0.0,0,0,0,0,0,0,1,62,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,4170,NeedManualLabel
172.16.16.96-172.16.16.163-55918-30006-6,172.16.16.96,55918,172.16.16.163,30006,6,2022-09-09 07:28:33.794739,25334,5,0,535.0,0.0,535.0,0.0,107.0,239.2592735924775,0,0,0,0,21117.8653193337,197.36322728349253,6333.5,11155.788348058002,23054.0,261.0,25334.0,6333.5,11155.788348058002,23054.0,261.0,0,0,0,0,0,1,0,0,0,0,0,168,0,197.36322728349253,0.0,0.0,535.0,107.0,239.2592735924775,57245.00000000001,1,1,0,1,4,0,0,0,0.0,107.0,107.0,0.0,0,0,0,0,0,0,1,107,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,25334,NeedManualLabel
172.16.16.96-172.16.16.1-39113-53-17,172.16.16.96,39113,172.16.16.1,53,17,2022-09-09 07:38:47.260839,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
172.16.16.96-172.16.16.1-51599-53-17,172.16.16.96,51599,172.16.16.1,53,17,2022-09-09 07:36:01.868758,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
172.16.16.96-172.16.16.163-60228-10010-6,172.16.16.96,60228,172.16.16.163,10010,6,2022-09-09 07:35:57.826138,6480,5,0,322.0,0.0,322.0,0.0,64.4,144.00277775098644,0,0,0,0,49691.35802469136,771.604938271605,1620.0,1526.586824695318,3815.0,314.0,6480.0,1620.0,1526.586824695318,3815.0,314.0,0,0,0,0,0,1,0,0,0,0,0,168,0,771.604938271605,0.0,0.0,322.0,64.4,144.00277775098644,20736.799999999996,1,1,0,1,4,0,0,0,0.0,64.4,64.4,0.0,0,0,0,0,0,0,1,64,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,6480,NeedManualLabel
172.16.16.96-172.66.43.44-46048-443-6,172.16.16.96,46048,172.66.43.44,443,6,2022-09-09 07:53:46.952092,252662,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,2204.5262049694848,55.409994379843425,19435.53846153846,25356.04895159925,82879.0,67.0,252662.0,19435.53846153846,25356.04895159925,82879.0,67.0,0,0,0,0,0,5,0,0,0,0,0,312,0,55.409994379843425,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,6212,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,-1,-1,252662,NeedManualLabel
172.16.16.96-172.66.43.44-48888-443-6,172.16.16.96,48888,172.66.43.44,443,6,2022-09-09 07:29:37.654106,855290,16,0,557.0,0.0,289.0,0.0,34.8125,74.90101801711376,0,0,0,0,651.2410995101077,18.707105192390884,57019.33333333334,139877.8824769595,554371.0,54.0,855290.0,57019.33333333334,139877.8824769595,554371.0,54.0,0,0,0,0,0,5,0,0,0,0,0,352,0,18.707105192390884,0.0,0.0,289.0,34.8125,74.90101801711376,5610.162499999999,1,1,0,5,15,0,0,0,0.0,34.8125,34.8125,0.0,557,5,855,0,0,0,1,34,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,-1,-1,855290,NeedManualLabel
